"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"nihtbx_anger_par_itmcnt","Float","30","Recommended","NIH Toolbox Anger Parent Report CAT ItmCnt","","","",
"nihtbx_anger_par_rawscore","Float","30","Recommended","NIH Toolbox Anger Parent Report CAT RawScore","","","",
"nihtbx_anger_par_se","Float","30","Recommended","NIH Toolbox Anger Parent Report CAT SE","","","",
"nihtbx_anger_par_theta","Float","30","Recommended","NIH Toolbox Anger Parent Report CAT Theta","","","",
"nihtbx_anger_par_tscore","Float","30","Recommended","NIH Toolbox Anger Parent Report CAT TScore","","","",
"nihtbx_anxiety_par_tscore","Float","30","Recommended","Anxiety Summary Parent Report (3-7) TScore","","","",
"nihtbx_empathy_par_itmcnt","Float","30","Recommended","NIH Toolbox Empathic Behaviors Parent Report CAT ItmCnt","","","",
"nihtbx_empathy_par_rawscore","Float","30","Recommended","NIH Toolbox Empathic Behaviors Parent Report CAT RawScore","","","",
"nihtbx_empathy_par_se","Float","30","Recommended","NIH Toolbox Empathic Behaviors Parent Report CAT SE","","","",
"nihtbx_empathy_par_theta","Float","30","Recommended","NIH Toolbox Empathic Behaviors Parent Report CAT Theta","","","",
"nihtbx_empathy_par_tscore","Float","30","Recommended","NIH Toolbox Empathic Behaviors Parent Report CAT TScore","","","",
"nihtbx_fear_par_itmcnt","Float","30","Recommended","NIH Toolbox Fear Parent Report CAT ItmCnt","","","",
"nihtbx_fear_par_rawscore","Float","30","Recommended","NIH Toolbox Fear Parent Report CAT RawScore","","","",
"nihtbx_fear_par_se","Float","30","Recommended","NIH Toolbox Fear Parent Report CAT SE","","","",
"nihtbx_fear_par_theta","Float","30","Recommended","NIH Toolbox Fear Parent Report CAT Theta","","","",
"nihtbx_fear_par_tscore","Float","30","Recommended","NIH Toolbox Fear Parent Report CAT TScore","","","",
"nihtbx_fearoveranx_par_itmcnt","Float","30","Recommended","NIH Toolbox Fear-Over Anxious Parent Report FF ItmCnt","","","",
"nihtbx_fearoveranx_par_rawscore","Float","30","Recommended","NIH Toolbox Fear-Over Anxious Parent Report FF RawScore","","","",
"nihtbx_fearoveranx_par_se","Float","30","Recommended","NIH Toolbox Fear-Over Anxious Parent Report FF SE","","","",
"nihtbx_fearoveranx_par_theta","Float","30","Recommended","NIH Toolbox Fear-Over Anxious Parent Report FF Theta","","","",
"nihtbx_fearoveranx_par_tscore","Float","30","Recommended","NIH Toolbox Fear-Over Anxious Parent Report FF TScore","","","",
"nihtbx_fearsepanx_par_itmcnt","Float","30","Recommended","NIH Toolbox Fear-Separation Anxiety Parent Report FF ItmCnt","","","",
"nihtbx_fearsepanx_par_rawscore","Float","30","Recommended","NIH Toolbox Fear-Separation Anxiety Parent Report FF RawScore","","","",
"nihtbx_fearsepanx_par_se","Float","30","Recommended","NIH Toolbox Fear-Separation Anxiety Parent Report FF SE","","","",
"nihtbx_fearsepanx_par_theta","Float","30","Recommended","NIH Toolbox Fear-Separation Anxiety Parent Report FF Theta","","","",
"nihtbx_fearsepanx_par_tscore","Float","30","Recommended","NIH Toolbox Fear-Separation Anxiety Parent Report FF TScore","","","",
"nihtbx_lifesat_par_itmcnt","Float","30","Recommended","NIH Toolbox General Life Satisfaction Parent Report FF ItmCnt","","","",
"nihtbx_lifesat_par_rawscore","Float","30","Recommended","NIH Toolbox General Life Satisfaction Parent Report FF RawScore","","","",
"nihtbx_lifesat_par_tscore","Float","30","Recommended","NIH Toolbox General Life Satisfaction Parent Report FF TScore","","","",
"nihtbx_peerinter_par_itmcnt","Float","30","Recommended","NIH Toolbox Positive Peer Interaction Parent Report FF ItmCnt","","","",
"nihtbx_peerinter_par_rawscore","Float","30","Recommended","NIH Toolbox Positive Peer Interaction Parent Report FF RawScore","","","",
"nihtbx_peerinter_par_tscore","Float","30","Recommended","NIH Toolbox Positive Peer Interaction Parent Report FF TScore","","","",
"nihtbx_posaffect_par_itmcnt","Float","30","Recommended","NIH Toolbox Positive Affect Parent Report CAT ItmCnt","","","",
"nihtbx_posaffect_par_rawscore","Float","30","Recommended","NIH Toolbox Positive Affect Parent Report CAT RawScore","","","",
"nihtbx_posaffect_par_se","Float","30","Recommended","NIH Toolbox Positive Affect Parent Report CAT SE","","","",
"nihtbx_posaffect_par_theta","Float","30","Recommended","NIH Toolbox Positive Affect Parent Report CAT Theta","","","",
"nihtbx_posaffect_par_tscore","Float","30","Recommended","NIH Toolbox Positive Affect Parent Report CAT TScore","","","",
"nihtbx_rejection_par_itmcnt","Float","30","Recommended","NIH Toolbox Peer Rejection Parent Report FF ItmCnt","","","",
"nihtbx_rejection_par_rawscore","Float","30","Recommended","NIH Toolbox Peer Rejection Parent Report FF RawScore","","","",
"nihtbx_rejection_par_tscore","Float","30","Recommended","NIH Toolbox Peer Rejection Parent Report FF TScore","","","",
"nihtbx_sadness_par_itmcnt","Float","30","Recommended","NIH Toolbox Sadness Parent Report FF ItmCnt","","","",
"nihtbx_sadness_par_rawscore","Float","30","Recommended","NIH Toolbox Sadness Parent Report FF RawScore","","","",
"nihtbx_sadness_par_se","Float","30","Recommended","NIH Toolbox Sadness Parent Report FF SE","","","",
"nihtbx_sadness_par_theta","Float","30","Recommended","NIH Toolbox Sadness Parent Report FF Theta","","","",
"nihtbx_sadness_par_tscore","Float","30","Recommended","NIH Toolbox Sadness Parent Report FF TScore","","","",
"nihtbx_selfeff_par_itmcnt","Float","30","Recommended","NIH Toolbox Self-Efficacy Parent Report CAT ItmCnt","","","",
"nihtbx_selfeff_par_rawscore","Float","30","Recommended","NIH Toolbox Self-Efficacy Parent Report CAT RawScore","","","",
"nihtbx_selfeff_par_se","Float","30","Recommended","NIH Toolbox Self-Efficacy Parent Report CAT SE","","","",
"nihtbx_selfeff_par_theta","Float","30","Recommended","NIH Toolbox Self-Efficacy Parent Report CAT Theta","","","",
"nihtbx_selfeff_par_tscore","Float","30","Recommended","NIH Toolbox Self-Efficacy Parent Report CAT TScore","","","",
"nihtbx_stress_par_itmcnt","Float","30","Recommended","NIH Toolbox Perceived Stress Parent Report CAT ItmCnt","","","",
"nihtbx_stress_par_rawscore","Float","30","Recommended","NIH Toolbox Perceived Stress Parent Report CAT RawScore","","","",
"nihtbx_stress_par_se","Float","30","Recommended","NIH Toolbox Perceived Stress Parent Report CAT SE","","","",
"nihtbx_stress_par_theta","Float","30","Recommended","NIH Toolbox Perceived Stress Parent Report CAT Theta","","","",
"nihtbx_stress_par_tscore","Float","30","Recommended","NIH Toolbox Perceived Stress Parent Report CAT TScore","","","",
"nihtbx_withdrawal_par_itmcnt","Float","30","Recommended","NIH Toolbox Social Withdrawal Parent Report FF ItmCnt","","","",
"nihtbx_withdrawal_par_rawscore","Float","30","Recommended","NIH Toolbox Social Withdrawal Parent Report FF RawScore","","","",
"nihtbx_withdrawal_par_tscore","Float","30","Recommended","NIH Toolbox Social Withdrawal Parent Report FF TScore","","","",
